Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KL Sentral, Kuala Lumpur","RM 1,150,000",3,2,2,Condominium,"Built-up : 1,436 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,245,000",2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 3,000,000",5+2,6,5,Bungalow,Land area : 21635 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 460,000",4+1,2,2,Condominium (Corner),"Built-up : 1,336 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 535,000",4,2,2,Condominium (Corner),"Built-up : 1,000 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 560,000",1,1,1,Condominium,Built-up : 667 sq. ft.,Partly Furnished
"Seputeh, Kuala Lumpur","RM 898,000",3,2,2,Condominium,"Built-up : 1,087 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 670,000",2,2,1,Condominium,Built-up : 829 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,500,000",3+1,3,2,Townhouse (EndLot),Land area : 3358 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 880,000",4,3,4,2-sty Terrace/Link House (Intermediate),Land area : 22x85 sq. ft.,Partly Furnished
"Kepong, Kuala Lumpur","RM 535,000",3,2,2,2-sty Terrace/Link House (Intermediate),Land area : 20x70 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 368,000",3,2,2,Condominium (Intermediate),Built-up : 947 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 360,000",3,2,2,Condominium (EndLot),Built-up : 943 sq. ft.,Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,250,000",2,2,1,Condominium (Corner),"Built-up : 1,076 sq. ft.",Partly Furnished
"KL Eco City, Kuala Lumpur","RM 1,027,000",1+1,1,1,Condominium,Built-up : 790 sq. ft.,Fully Furnished
"City Centre, Kuala Lumpur","RM 2,028,000",2+1,2,1,Serviced Residence (Intermediate),"Built-up : 1,560 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,750,000",3+1,4,2,Condominium (Corner),"Built-up : 2,098 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,900,000",4+1,5,2,Condominium (Intermediate),"Built-up : 2,315 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 2,150,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,271 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,580,000",2,2,1,Condominium (Corner),"Built-up : 1,766 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 3,500,000",4+1,5,3,Condominium,"Built-up : 3,632 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,520,000",4+1,5,3,Condominium,"Built-up : 3,704 sq. ft.",Partly Furnished
"Taman Desa, Kuala Lumpur","RM 518,000",3,2,1,Condominium (Corner),"Built-up : 1,250 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 642,000",3,2,1,Condominium,"Built-up : 1,410 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,240,000",3+1,3,2,Condominium,"Built-up : 1,703 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 2,230,000",4+1,5,3,Condominium,"Built-up : 3,041 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 950,000",4,3,1,Condominium (Corner),"Built-up : 1,550 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,050,000",4,3,1,Condominium (Corner),"Built-up : 1,550 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur","RM 5,182,000",3+1,5,3,Condominium (Corner),"Built-up : 3,239 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 3,760,000",3+1,5,3,Condominium (Corner),"Built-up : 3,239 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 760,000",3,2,2,Serviced Residence,"Built-up : 1,130 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 688,000",2+1,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 778,000",2+1,2,2,Serviced Residence,"Built-up : 1,025 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,200,000",3+1,2,2,Condominium,"Built-up : 1,420 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 290,000",2,2,1,Apartment (Intermediate),Built-up : 726 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 2,260,000",3,3,2,Condominium,"Built-up : 1,518 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,570,000",4+1,6,3,Condominium (Corner),"Built-up : 3,973 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 4,568,000",5,6,3,Condominium (Corner),"Built-up : 3,973 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 388,000",3,2,1,Apartment (Intermediate),Built-up : 818 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 1,780,000",4+1,5,2,Condominium (Corner),"Built-up : 2,315 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 878,000",2+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,025 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,100,000",3+1,2,2,Serviced Residence (Intermediate),"Built-up : 1,170 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,295,000",3+1,2,2,Condominium,"Built-up : 1,678 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 490,000",3,3,2,2-sty Terrace/Link House (Intermediate),Land area : 16x55 sq. ft.,Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 430,000",3,2,1,Condominium (Intermediate),"Built-up : 1,250 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 910,000",3,4,2,Condominium,"Built-up : 1,515 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,200,000",4+1,5,3,Condominium (Corner),"Built-up : 3,800 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,720,000",3+1,4,2,Condominium (Corner),Land area : 2073 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 390,000",3,2,1,Condominium (Intermediate),Built-up : 819 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 479,000",3,2,1,Serviced Residence (Intermediate),Built-up : 958 sq. ft.,Unknown
"KL Sentral, Kuala Lumpur","RM 2,412,450",3,3,1,Serviced Residence,"Built-up : 1,787 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 450,000",4,2,1,Condominium (Intermediate),"Built-up : 1,000 sq. ft.",Unfurnished
"Segambut, Kuala Lumpur","RM 325,000",3,2,1,Apartment (Corner),"Built-up : 1,049 sq. ft.",Partly Furnished
"Damansara, Kuala Lumpur","RM 3,880,000",5+1,6,6,Bungalow (Corner),Land area : 7200 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,350,000",3+2,4,2,Condominium,"Built-up : 2,000 sq. ft.",Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 660,000",3,2,2,Condominium,"Built-up : 1,280 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,550,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 1,840 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 707,000",2+1,2,1,Serviced Residence,Built-up : 924 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 980,000",Studio,2,1,Serviced Residence (Intermediate),Built-up : 610 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,080,000",1,1,1,Serviced Residence,"Built-up : 1,123 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur","RM 1,078,000",2,2,1,Serviced Residence,Built-up : 625 sq. ft.,Partly Furnished
"Country Heights Damansara, Kuala Lumpur","RM 680,000",2+1,2,1,Serviced Residence,Built-up : 915 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 950,000",3,2,2,Serviced Residence (Intermediate),"Built-up : 1,102 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",2+1,3,2,Serviced Residence,"Built-up : 1,313 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 6,264,000",4+1,5,3,Serviced Residence (Penthouse),"Built-up : 3,132 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 1,615,000",3+1,5,2,Condominium (Intermediate),"Built-up : 2,098 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,500,000",3+1,5,2,Condominium (Intermediate),"Built-up : 2,173 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 580,000",2,2,2,Serviced Residence (Intermediate),Built-up : 720 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 575,000",2,2,2,Serviced Residence (Intermediate),Built-up : 720 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 600,000",2,2,2,Serviced Residence (Intermediate),Built-up : 720 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 555,000",2,2,2,Serviced Residence (Intermediate),Built-up : 720 sq. ft.,Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 550,000",3,3,1,Condominium (Intermediate),"Built-up : 1,276 sq. ft.",Partly Furnished
"Bangsar, Kuala Lumpur","RM 950,000",2,2,1,Serviced Residence (Corner),"Built-up : 1,192 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 4,300,000",4+1,4,2,Bungalow (Intermediate),Land area : 7718 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 598,000",2,2,1,Serviced Residence (Intermediate),Land area : 852 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 720,000",3+1,2,2,Condominium (Intermediate),Land area : 1450 sq. ft.,Partly Furnished
"Jalan Ipoh, Kuala Lumpur","RM 1,999,888",1,1,4,Residential Land (Intermediate),Land area : 9000 sq. ft.,Unfurnished
"Cheras, Kuala Lumpur","RM 738,000",4,3,2,2-sty Terrace/Link House (EndLot),Land area : 25x70 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 650,000",2,2,1,Condominium,"Built-up : 1,025 sq. ft.",Fully Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 1,000,000",3,2,2,Condominium (Intermediate),"Built-up : 16,500 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,080,000",3+1,3,2,Condominium,"Built-up : 2,036 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 820,000",3,2,1,Condominium,"Built-up : 1,100 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,000,000",3+1,4,2,Condominium,"Built-up : 1,636 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 940,000",3+1,3,2,Condominium,"Built-up : 1,699 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 830,000",3,3,2,Condominium,"Built-up : 1,238 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,200,000",4,4,2,Condominium (Corner),"Built-up : 2,208 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 650,000",2,2,1,Condominium,Built-up : 961 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 830,000",3,2,1,Condominium,"Built-up : 1,228 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,250,000",4,3,3,Condominium,"Built-up : 2,147 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 820,000",3+1,2,1,Condominium,"Built-up : 1,550 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,200,000",4,4,2,Condominium,"Built-up : 2,208 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,200,000",4,4,3,Condominium,"Built-up : 2,208 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,000,000",3+1,3,2,Condominium,"Built-up : 1,828 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,200,000",3+1,4,2,Condominium (Corner),"Built-up : 1,927 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 800,000",3+1,2,2,Condominium,"Built-up : 1,399 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,540,000",4+1,4,3,Condominium (Duplex),"Built-up : 2,440 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,650,000",3+1,3,3,Condominium (Penthouse),"Built-up : 2,870 sq. ft.",Unfurnished
"Mont Kiara, Kuala Lumpur","RM 2,350,000",5+1,7,3,Condominium (Duplex),"Built-up : 3,995 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,500,000",4+1,5,4,Condominium (Penthouse),"Built-up : 4,600 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 780,000",3,2,1,Condominium (Intermediate),"Built-up : 1,370 sq. ft.",Unfurnished
"Dutamas, Kuala Lumpur","RM 830,000",3+1,4,3,Condominium (Corner),"Built-up : 2,111 sq. ft.",Fully Furnished
"Sungai Besi, Kuala Lumpur","RM 379,000",3,3,2,Serviced Residence,"Built-up : 1,045 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 600,000",1+1,2,2,Condominium,Built-up : 789 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 3,000,000",3+1,5,3,Condominium,"Built-up : 2,250 sq. ft.",Fully Furnished
"Bandar Menjalara, Kuala Lumpur","RM 595,000",3,2,4,2-sty Terrace/Link House (Intermediate),Land area : 16x55 sq. ft.,Partly Furnished
"Setapak, Kuala Lumpur","RM 500,000",4,2,2,Condominium,"Built-up : 1,313 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur","RM 775,000",1+1,1,2,Condominium (EndLot),Land area : 969 sq. ft.,Partly Furnished
"Salak Selatan, Kuala Lumpur","RM 638,000",4,2,2,1.5-sty Terrace/Link House (Intermediate),Land area : 1391 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 2,050,000",2,2,1,Serviced Residence,"Built-up : 1,098 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,200,000",1,1,1,Serviced Residence,Built-up : 652 sq. ft.,Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 1,657,000",2,2,1,Serviced Residence,Built-up : 891 sq. ft.,Fully Furnished
"Segambut, Kuala Lumpur","RM 750,000",3+1,3,2,Condominium (Intermediate),"Built-up : 1,250 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 2,500,000",5+1,8,5,3-sty Terrace/Link House (Corner),Land area : 45x93 sq. ft.,Unfurnished
"Kepong, Kuala Lumpur","RM 2,390,000",5+1,7,5,3-sty Terrace/Link House (EndLot),Land area : 34x93 sq. ft.,Unfurnished
"Mont Kiara, Kuala Lumpur","RM 2,390,000",5+1,7,5,3-sty Terrace/Link House (EndLot),Land area : 34x93 sq. ft.,Unfurnished
"Kepong, Kuala Lumpur","RM 2,500,000",5+1,7,5,3-sty Terrace/Link House (Corner),Land area : 45x93 sq. ft.,Unfurnished
"Brickfields, Kuala Lumpur","RM 730,000",3,2,1,Serviced Residence,"Built-up : 1,200 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 568,000",3+1,2,2,Condominium (Corner),"Built-up : 1,257 sq. ft.",Partly Furnished
"Seputeh, Kuala Lumpur","RM 668,000",3+1,3,1,Condominium,"Built-up : 1,461 sq. ft.",Partly Furnished
"Wangsa Maju, Kuala Lumpur","RM 900,000",3,2,2,Condominium,"Built-up : 1,593 sq. ft.",Unfurnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 410,000",3,2,1,Condominium (Corner),"Built-up : 1,259 sq. ft.",Partly Furnished
"Setapak, Kuala Lumpur","RM 210,000",3,2,1,Condominium (Intermediate),Built-up : 802 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 428,000",3,2,1,Condominium (EndLot),"Built-up : 1,259 sq. ft.",Partly Furnished
"Kepong, Kuala Lumpur","RM 490,000",3,2,1,Townhouse (Intermediate),Land area : 1100 sq. ft.,Unfurnished
"Kepong, Kuala Lumpur","RM 580,000",4,3,1,1-sty Terrace/Link House (Intermediate),Land area : 22x75 sq. ft.,Partly Furnished
"Ampang, Kuala Lumpur","RM 860,000",2+1,2,1,Condominium (Corner),Land area : 1151 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,650,000",3+1,4,2,Condominium (Corner),Land area : 2098 sq. ft.,Fully Furnished
"Ampang Hilir, Kuala Lumpur","RM 570,000",3,2,1,Condominium (Corner),Land area : 1420 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,450,000",3+1,4,2,Condominium (Corner),Land area : 2098 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,400,000",3,4,3,Townhouse (Corner),Land area : 26X85 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 350,000",2,2,1,Flat (Intermediate),Land area : 1100 sq. ft.,Partly Furnished
"Titiwangsa, Kuala Lumpur","RM 630,000",3,2,1,Serviced Residence (Corner),Land area : 1100 sq. ft.,Partly Furnished
"Cheras, Kuala Lumpur","RM 800,000",4+1,3,2,2-sty Terrace/Link House (Intermediate),Land area : 20x70 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 810,000",1+1,2,1,Serviced Residence (Corner),Land area : 800 sq. ft.,Fully Furnished
"Kuchai Lama, Kuala Lumpur","RM 450,000",3,2,1,Serviced Residence (Corner),Land area : 936 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 2,000,000",3+1,4,3,Serviced Residence (Corner),Land area : 2100 sq. ft.,Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,350,000",3+2,4,2,Condominium (Corner),"Built-up : 2,070 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,450,000",3+1,3,2,Serviced Residence (Corner),"Built-up : 1,582 sq. ft.",Fully Furnished
"KL City, Kuala Lumpur","RM 1,350,000",3,3,2,Serviced Residence (Corner),"Built-up : 1,453 sq. ft.",Fully Furnished
"Brickfields, Kuala Lumpur","RM 610,000",3,2,1,Serviced Residence,"Built-up : 1,200 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur","RM 2,150,000",3+1,5,3,Condominium (Intermediate),"Built-up : 3,750 sq. ft.",Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 1,450,000",4,4,2,Townhouse (Intermediate),"Built-up : 2,583 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,080,000",3+1,3,1,Serviced Residence (Corner),"Built-up : 1,496 sq. ft.",Fully Furnished
"Bukit Bintang, Kuala Lumpur","RM 7,500,000",4+1,6,2,Serviced Residence (Corner),"Built-up : 4,227 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 1,100,000",2,2,1,Condominium (Intermediate),"Built-up : 1,140 sq. ft.",Fully Furnished
"Ampang Hilir, Kuala Lumpur","RM 2,450,000",3+1,4,2,Condominium (Intermediate),"Built-up : 2,228 sq. ft.",Fully Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,150,000",3+1,3,2,1-sty Terrace/Link House (Intermediate),Land area : 25x80 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,200,000",3+1,3,2,1-sty Terrace/Link House (Intermediate),Land area : 25x80 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 3,200,000",4,4,8,1-sty Terrace/Link House (Corner),Land area : 5735 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,600,000",5,4,3,1-sty Terrace/Link House (Corner),Land area : 6000 sq. ft.,Fully Furnished
"KL Sentral, Kuala Lumpur","RM 1,550,000",2,1,1,Serviced Residence (Corner),"Built-up : 1,259 sq. ft.",Unfurnished
"Cheras, Kuala Lumpur","RM 378,000",3,2,1,Apartment (Corner),Built-up : 837 sq. ft.,Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 620,000",3,2,2,2-sty Terrace/Link House (Intermediate),Land area : 16x55 sq. ft.,Partly Furnished
"Bandar Menjalara, Kuala Lumpur","RM 600,000",3,2,2,2-sty Terrace/Link House (Intermediate),Land area : 16x55 sq. ft.,Partly Furnished
"Segambut, Kuala Lumpur","RM 230,000",3,2,1,Apartment (Corner),Built-up : 910 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 460,000",3,2,1,Apartment (Corner),"Built-up : 1,221 sq. ft.",Partly Furnished
"Sunway SPK, Kuala Lumpur","RM 1,480,000",3+1,4,2,Townhouse (Intermediate),"Built-up : 2,336 sq. ft.",Partly Furnished
"Salak Selatan, Kuala Lumpur","RM 597,000",3,2,2,Serviced Residence,"Built-up : 1,122 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 1,421,199",3,3,2,Serviced Residence,"Built-up : 1,441 sq. ft.",Partly Furnished
"Cheras, Kuala Lumpur","RM 620,000",5,3,2,2-sty Terrace/Link House (Intermediate),Land area : 1650 sq. ft.,Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 470,000",2,2,1,Condominium (Corner),"Built-up : 1,000 sq. ft.",Partly Furnished
"Jalan Kuching, Kuala Lumpur","RM 600,000",3+1,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 385,000",3,2,1,Apartment (Corner),Built-up : 952 sq. ft.,Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 288,000",2,2,1,Apartment,Built-up : 723 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 640,000",4,2,3,Condominium,"Built-up : 1,212 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 450,000",3,2,1,Condominium,"Built-up : 1,252 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,080,000",2,1,1,Serviced Residence,Built-up : 932 sq. ft.,Fully Furnished
"Sri Hartamas, Kuala Lumpur","RM 3,680,000",4+2,5,2,3.5-sty Terrace/Link House,Land area : 2000 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 380,000",3,2,1,Condominium,"Built-up : 1,129 sq. ft.",Fully Furnished
"Sri Petaling, Kuala Lumpur","RM 435,000",3,2,1,Condominium (Corner),"Built-up : 1,200 sq. ft.",Fully Furnished
"City Centre, Kuala Lumpur","RM 1,530,000",1,1,1,Serviced Residence,"Built-up : 1,131 sq. ft.",Fully Furnished
"Cheras, Kuala Lumpur","RM 2,800,000",5,3,4,Bungalow,Land area : 10500 sq. ft.,Unfurnished
"Ampang Hilir, Kuala Lumpur","RM 680,000",3+1,2,1,Condominium,"Built-up : 1,300 sq. ft.",Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 460,000",3,2,1,Condominium,"Built-up : 1,252 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,150,000",5+2,4,2,3-sty Terrace/Link House (Intermediate),Land area : 1720 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 1,490,000",3,3,1,Condominium,Land area : 1680 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,400,000",3,2,1,Condominium (Intermediate),Land area : 1380 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,278,888",1,1,1,Serviced Residence (Intermediate),Land area : 880 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 1,000,000",2+1,2,1,Serviced Residence (Intermediate),Land area : 811 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,600,000",3,3,2,Condominium,"Built-up : 2,201 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 900,000",2+1,3,2,Condominium,"Built-up : 1,280 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 12,000,000",5+2,5,3,Bungalow,Land area : 11400 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur","RM 18,000,000",5+2,6,10,Bungalow,Land area : 21000 sq. ft.,Fully Furnished
"Damansara Heights, Kuala Lumpur","RM 1,570,050",1+1,3,2,Serviced Residence,"Built-up : 1,163 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,500,000",1,1,1,Serviced Residence,Built-up : 904 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 2,380,000",4+1,5,2,Semi-detached House (Intermediate),Land area : 40x80 sq. ft.,Unfurnished
"Taman Desa, Kuala Lumpur","RM 2,850,000",4+1,5,2,3-sty Terrace/Link House (Corner),Land area : 4068 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 1,350,000",6,5,3,3-sty Terrace/Link House (Intermediate),Land area : 20x80 sq. ft.,Partly Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 520,000",1,2,1,Serviced Residence,Built-up : 775 sq. ft.,Fully Furnished
"Bangsar, Kuala Lumpur","RM 5,500,000",4+1,5,3,Bungalow,"Built-up : 6,000 sq. ft.",Partly Furnished
"Setiawangsa, Kuala Lumpur","RM 358,000",3,2,1,Apartment (Corner),Land area : 998 sq. ft.,Fully Furnished
"Cheras, Kuala Lumpur","RM 415,000",3,2,1,Condominium (Intermediate),Land area : 926 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 2,100,000",6+1,3,3,Semi-detached House (Intermediate),Land area : 3300 sq. ft.,Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 435,000",3+1,2,1,Condominium (Corner),Land area : 1270 sq. ft.,Fully Furnished
